brewery_id,name,cat_id,style_id,abv,brewery_name,latitude,longitude
1286,ESB,British Ale,Extra Special Bitter,5.7,Troegs Brewing,40.2559,-76.8715
1286,Bavarian Lager,North American Lager,American-Style Lager,5.0,Troegs Brewing,40.2559,-76.8715
1286,Oatmeal Stout,North American Ale,American-Style Stout,6.8,Troegs Brewing,40.2559,-76.8715
1286,Dead Reckoning Porter,Irish Ale,Porter,5.8,Troegs Brewing,40.2559,-76.8715
1286,Dreamweaver,Other Style,Light American Wheat Ale or Lager,4.8,Troegs Brewing,40.2559,-76.8715
1286,Troegenator Double Bock,German Lager,German-Style Doppelbock,8.2,Troegs Brewing,40.2559,-76.8715
1286,HopBack Amber Ale,North American Ale,American-Style Amber/Red Ale,5.6,Troegs Brewing,40.2559,-76.8715
1286,Rugged Trail Ale,North American Ale,American-Style Brown Ale,4.4,Troegs Brewing,40.2559,-76.8715
1286,Scratch #7 2008,German Ale,South German-Style Weizenbock,7.9,Troegs Brewing,40.2559,-76.8715
1286,Scratch #14 2008,Belgian and French Ale,French & Belgian-Style Saison,6.7,Troegs Brewing,40.2559,-76.8715
1286,Scratch Beer 31 - 2010 Citra Of Brotherly Love IPA,North American Ale,American-Style India Pale Ale,7.4,Troegs Brewing,40.2559,-76.8715
1286,Scratch #20 2009 Apollo Imperial Ale,North American Ale,Imperial or Double India Pale Ale,7.0,Troegs Brewing,40.2559,-76.8715
1286,Scratch #22 2009,Belgian and French Ale,Belgian-Style White,5.5,Troegs Brewing,40.2559,-76.8715
1286,Java Head Stout,North American Ale,American-Style Stout,7.5,Troegs Brewing,40.2559,-76.8715
1286,Scratch #21 2009 - Artisan Ale,Belgian and French Ale,Other Belgian-Style Ales,7.8,Troegs Brewing,40.2559,-76.8715
1286,Scratch #25 2009 Magical Moustache Rye,Other Style,American Rye Ale or Lager,6.5,Troegs Brewing,40.2559,-76.8715
1286,Scratch #19 2009 Imperial Double Expresso Oatmeal Stout,British Ale,Oatmeal Stout,9.5,Troegs Brewing,40.2559,-76.8715
1286,TrÃ¶egs Splinter Beer Red,North American Ale,American-Style Strong Pale Ale,11.0,Troegs Brewing,40.2559,-76.8715
1286,Flying Mouflan,North American Ale,American-Style Barley Wine Ale,9.3,Troegs Brewing,40.2559,-76.8715
1286,Scratch #18 2009,Other Style,American Rye Ale or Lager,7.3,Troegs Brewing,40.2559,-76.8715
1286,Scratch #23 2009 Kellar Fest,Other,Other,5.1,Troegs Brewing,40.2559,-76.8715
1286,Scratch #24 2009 Van de Hoorn,Other,Other,7.8,Troegs Brewing,40.2559,-76.8715
1286,Scratch #17 2009,German Lager,German-Style Pilsener,5.6,Troegs Brewing,40.2559,-76.8715
1286,TrÃ¶egs Splinter Beer Gold,Belgian and French Ale,Belgian-Style Tripel,12.0,Troegs Brewing,40.2559,-76.8715
1286,Scratch #16 2008,Other Style,Winter Warmer,6.3,Troegs Brewing,40.2559,-76.8715
1286,Scratch #15 2008,British Ale,Oatmeal Stout,6.0,Troegs Brewing,40.2559,-76.8715
1286,Scratch #27 2010 Cocaoabunga,North American Ale,American-Style Stout,6.7,Troegs Brewing,40.2559,-76.8715
1287,Phuket Lager,North American Lager,American-Style Lager,5.0,"Tropical Beverage (International) Co., Ltd",13.7234,100.476
1289,Red Dragon Xtreme,North American Lager,American-Style Lager,0.0,Tsingtao,36.0663,120.383
1290,Helles Hefe Weizen,German Ale,South German-Style Hefeweizen,5.3,Tucher Bru,49.4643,11.0847
1290,Dunkles Hefe Weizen,Other,Other,5.3,Tucher Bru,49.4643,11.0847
1290,Kristall Weizen,Other,Other,5.3,Tucher Bru,49.4643,11.0847
1290,Bajuvator Doppelbock,German Lager,Traditional German-Style Bock,7.2,Tucher Bru,49.4643,11.0847
1292,Barbary Coast Brand Gold Rush Style Beer,Other,Other,0.0,Tunner's Guild Brewing Systems,44.9442,-93.0861
1292,Rock River Lager Beer,North American Lager,American-Style Lager,0.0,Tunner's Guild Brewing Systems,44.9442,-93.0861
1292,Piedmont Porter,Irish Ale,Porter,0.0,Tunner's Guild Brewing Systems,44.9442,-93.0861
1292,Berkshire Springs Stock Ale,North American Ale,American-Style Brown Ale,0.0,Tunner's Guild Brewing Systems,44.9442,-93.0861
1293,Hop Pocket Ale,North American Ale,American-Style Pale Ale,0.0,Tuppers Hop Pocket Ale,38.9735,-77.1272
1294,Old Town IPA,North American Ale,American-Style India Pale Ale,0.0,Tustin Brewing,33.7496,-117.812
1295,Gingered Ale,Other,Other,0.0,Twin Ports Brewing,46.7208,-92.1041
1295,Bourbon Barrel Scotch Ale,Other,Other,7.5,Twin Ports Brewing,46.7208,-92.1041
1295,Burntwood Black Ale,Irish Ale,Porter,0.0,Twin Ports Brewing,46.7208,-92.1041
1295,Derailed Ale,North American Ale,American-Style Pale Ale,0.0,Twin Ports Brewing,46.7208,-92.1041
1295,Hopfenkopf,North American Ale,American-Style Pale Ale,0.0,Twin Ports Brewing,46.7208,-92.1041
1296,India Pale Ale,North American Ale,American-Style Pale Ale,0.0,Twin Rivers Brewing,47.8559,-121.971
1296,Weissbier,North American Lager,American-Style Lager,4.3,Twin Rivers Brewing,47.8559,-121.971
1296,Imperial Stout,North American Ale,American-Style Stout,6.2,Twin Rivers Brewing,47.8559,-121.971
1296,Saison,Other,Other,5.7,Twin Rivers Brewing,47.8559,-121.971
1296,Imperial I.P.A.,North American Ale,American-Style Pale Ale,7.2,Twin Rivers Brewing,47.8559,-121.971
1296,Pilsner,Other,Other,4.7,Twin Rivers Brewing,47.8559,-121.971
1296,N.W. Pale Ale,North American Ale,American-Style Pale Ale,5.0,Twin Rivers Brewing,47.8559,-121.971
1296,Bock,German Lager,Traditional German-Style Bock,5.0,Twin Rivers Brewing,47.8559,-121.971
1297,Big Shot Espresso Stout,Other,Other,0.0,Twisted Pine Brewing Company,40.0201,-105.251
1297,Pearl Street Porter,Irish Ale,Porter,0.0,Twisted Pine Brewing Company,40.0201,-105.251
1298,Northwind Imperial Stout,North American Ale,American-Style Stout,7.5,Two Brothers Brewing,41.8206,-88.2068
1298,Ebelweiss,German Ale,South German-Style Hefeweizen,0.0,Two Brothers Brewing,41.8206,-88.2068
1298,Iditarod Imperial Stout,North American Ale,American-Style Stout,0.0,Two Brothers Brewing,41.8206,-88.2068
1298,Brown Ale,North American Ale,American-Style Brown Ale,0.0,Two Brothers Brewing,41.8206,-88.2068
1298,Prairie Path Golden Ale,Other,Other,0.0,Two Brothers Brewing,41.8206,-88.2068
1298,Domaine DuPage French Country Ale,Belgian and French Ale,French & Belgian-Style Saison,5.9,Two Brothers Brewing,41.8206,-88.2068
1298,The Bitter End Pale Ale,North American Ale,American-Style Pale Ale,5.1,Two Brothers Brewing,41.8206,-88.2068
1298,Brown Fox Ale,North American Ale,American-Style Pale Ale,0.0,Two Brothers Brewing,41.8206,-88.2068
1300,Honey Blonde Light Pale Ale,Other,Other,0.0,TwoRows Restaurant & Brewery - Dallas,32.8545,-96.7687
1300,Osage Golden Wheat Ale,North American Lager,American-Style Lager,0.0,TwoRows Restaurant & Brewery - Dallas,32.8545,-96.7687
1300,Bulldog Brown,North American Ale,American-Style Brown Ale,0.0,TwoRows Restaurant & Brewery - Dallas,32.8545,-96.7687
1300,Route 66 Amber Ale,North American Ale,American-Style Amber/Red Ale,0.0,TwoRows Restaurant & Brewery - Dallas,32.8545,-96.7687
1300,ESB,Other,Other,0.0,TwoRows Restaurant & Brewery - Dallas,32.8545,-96.7687
1300,Barking Fish Porter,Irish Ale,Porter,0.0,TwoRows Restaurant & Brewery - Dallas,32.8545,-96.7687
1301,Headless Man Amber Alt,German Ale,German-Style Brown Ale/Altbier,5.0,Tyranena Brewing,43.0862,-88.8967
1301,Three Beaches Honey Blonde Ale,North American Ale,Golden or Blonde Ale,0.0,Tyranena Brewing,43.0862,-88.8967
1301,Shantytown Doppelbock,German Lager,German-Style Doppelbock,6.5,Tyranena Brewing,43.0862,-88.8967
1301,Fighting Finches Bock,German Lager,German-Style Heller Bock/Maibock,0.0,Tyranena Brewing,43.0862,-88.8967
1301,Rocky's Revenge,North American Ale,American-Style Brown Ale,6.0,Tyranena Brewing,43.0862,-88.8967
1301,Fargo Brothers Hefeweizen,German Ale,South German-Style Hefeweizen,5.3,Tyranena Brewing,43.0862,-88.8967
1301,Gemuetlichkeit Oktoberfest,German Lager,German-Style Oktoberfest,5.5,Tyranena Brewing,43.0862,-88.8967
1301,HopWhore Imperial India Pale Ale,North American Ale,Imperial or Double India Pale Ale,0.0,Tyranena Brewing,43.0862,-88.8967
1301,Bitter Woman in the Rye,Other Style,American Rye Ale or Lager,0.0,Tyranena Brewing,43.0862,-88.8967
1301,Bitter Woman IPA,North American Ale,American-Style India Pale Ale,5.8,Tyranena Brewing,43.0862,-88.8967
1301,Bitter Woman From Hell Extra IPA,North American Ale,American-Style India Pale Ale,0.0,Tyranena Brewing,43.0862,-88.8967
1301,Chief Blackhawk Porter,Irish Ale,Porter,5.6,Tyranena Brewing,43.0862,-88.8967
1301,Stone Teepee Pale Ale,North American Ale,American-Style Pale Ale,5.8,Tyranena Brewing,43.0862,-88.8967
1303,Alt,North American Ale,American-Style Brown Ale,4.5,Uerige Obergrige Hausbrauerei,51.225,6.7722
1303,DoppelSticke,German Lager,Traditional German-Style Bock,8.5,Uerige Obergrige Hausbrauerei,51.225,6.7722
1303,Sticke,North American Ale,American-Style Brown Ale,6.0,Uerige Obergrige Hausbrauerei,51.225,6.7722
1304,Gelande Amber Lager,Other,Other,0.0,Uinta Brewing Compnay,40.7326,-111.954
1304,King's Peak Porter,Irish Ale,Porter,4.0,Uinta Brewing Compnay,40.7326,-111.954
1305,Emancipator,German Lager,Traditional German-Style Bock,8.3,Ukiah Brewing,39.1498,-123.208
1306,No Doubt Stout,North American Ale,American-Style Stout,0.0,Umpqua Brewing,43.2165,-123.342
1306,Summer Wheat,North American Lager,American-Style Lager,0.0,Umpqua Brewing,43.2165,-123.342
1307,16,Other,Other,10.0,Unibroue,45.4416,-73.2595
1307,11,North American Ale,American-Style Pale Ale,11.0,Unibroue,45.4416,-73.2595
1307,Don De Dieu,Belgian and French Ale,Belgian-Style Tripel,9.0,Unibroue,45.4416,-73.2595
1307,Maudite,Belgian and French Ale,Belgian-Style Dark Strong Ale,8.0,Unibroue,45.4416,-73.2595
1307,Trois Pistoles,North American Ale,Dark American-Belgo-Style Ale,9.0,Unibroue,45.4416,-73.2595
1307,La Fin Du Monde,Belgian and French Ale,Belgian-Style Tripel,9.0,Unibroue,45.4416,-73.2595
1307,Blanche de Chambly,Belgian and French Ale,Belgian-Style White,5.0,Unibroue,45.4416,-73.2595
1307,Ã‰phÃ©mÃ¨re Pomme,Belgian and French Ale,Belgian-Style White,5.5,Unibroue,45.4416,-73.2595
1307,Chambly Noire,North American Ale,Dark American-Belgo-Style Ale,6.2,Unibroue,45.4416,-73.2595
1307,1837,Belgian and French Ale,Other Belgian-Style Ales,7.0,Unibroue,45.4416,-73.2595
1307,Ã‰dition 2005,Other,Other,0.0,Unibroue,45.4416,-73.2595
1307,Terrible,Belgian and French Ale,Other Belgian-Style Ales,10.5,Unibroue,45.4416,-73.2595
1307,15,Other,Other,10.0,Unibroue,45.4416,-73.2595
1307,Quelque Chose,Belgian and French Ale,Belgian-Style Fruit Lambic,8.0,Unibroue,45.4416,-73.2595
1307,Seigneuriale,North American Ale,American-Style Amber/Red Ale,7.5,Unibroue,45.4416,-73.2595
1307,Raftman,North American Ale,American-Style Amber/Red Ale,5.5,Unibroue,45.4416,-73.2595
1310,Old 8444 Alt,North American Ale,American-Style Brown Ale,0.0,Union Colony Brewery,40.4233,-104.709
1311,Helles Naturtrub,Other,Other,0.0,Unionsbru Haidhausen,48.1355,11.6009
1311,Unimator,German Lager,Traditional German-Style Bock,0.0,Unionsbru Haidhausen,48.1355,11.6009
1312,Flying Horse Royal Lager Beer,North American Lager,American-Style Lager,0.0,United Breweries Limited,12.9689,77.5946
